ceb	age	educ	religion	idlnchld	knowmeth	usemeth	evermarr	agefm	heduc	urban	electric	radio	tv	bicycle
1	26	7	other	4	1	0	0	NA	NA	1	0	1	0	0
4	33	6	spirit	7	1	0	1	29	7	1	0	1	0	0
5	32	6	spirit	6	1	0	1	17	7	1	0	1	0	0
0	18	7	spirit	4	1	0	0	NA	NA	1	0	1	0	0
0	18	7	spirit	4	1	0	0	NA	NA	1	0	1	0	0
2	39	3	spirit	4	1	0	1	24	9	1	0	1	0	0
1	20	5	spirit	3	1	1	0	NA	NA	1	0	1	0	0
2	28	5	spirit	6	1	1	1	21	10	1	0	1	0	0
3	32	0	other	4	1	0	1	24	5	1	0	0	0	0
7	34	0	spirit	6	1	1	1	18	2	1	0	0	0	0
4	29	7	other	6	1	1	1	26	7	1	0	0	0	0
0	17	7	spirit	2	1	0	0	NA	NA	1	0	0	0	0
0	15	7	spirit	5	1	0	0	NA	NA	1	0	0	0	0
3	30	4	catholic	4	1	1	1	17	0	1	0	1	0	0
1	23	3	spirit	2	1	0	0	NA	NA	1	0	1	0	0
1	20	0	protestant	4	1	1	1	19	0	1	0	1	0	0
9	39	0	spirit	9	1	1	1	19	5	1	0	0	0	0
1	33	0	spirit	6	1	0	1	27	7	1	0	0	0	0
2	27	5	protestant	6	1	1	0	NA	NA	1	0	1	0	0
2	25	6	spirit	4	1	1	1	17	0	1	0	0	0	0
0	20	5	spirit	10	1	0	1	18	0	1	0	0	0	0
0	20	7	other	5	1	1	1	20	7	1	0	1	0	1
0	28	0	other	4	1	1	1	27	NA	1	0	1	0	0
0	26	9	protestant	6	1	1	1	21	10	1	0	0	0	0
2	30	10	catholic	3	1	1	0	NA	NA	1	0	1	0	0
2	20	8	spirit	2	1	1	1	15	0	1	0	1	0	0
4	30	8	other	2	1	1	1	29	0	1	0	0	0	0
8	38	2	spirit	8	1	1	1	19	0	1	0	0	0	0
2	43	0	protestant	20	1	0	1	18	0	1	0	0	0	0
2	26	0	other	6	1	1	0	NA	NA	1	0	0	0	0
2	24	0	other	6	1	1	1	19	0	1	0	1	0	1
2	27	10	catholic	4	1	1	0	NA	NA	1	0	1	0	0
3	30	0	other	6	1	1	1	24	NA	1	0	0	0	0
0	30	2	spirit	6	1	0	1	25	7	1	0	1	0	1
1	22	7	spirit	6	1	0	1	13	7	1	0	1	0	0
4	32	5	catholic	6	1	1	1	28	2	1	0	1	0	0
6	32	9	spirit	NA	1	1	1	26	0	1	0	0	0	0
6	27	4	protestant	2	1	0	1	18	0	1	0	1	0	0
4	30	4	spirit	6	1	1	1	17	6	1	0	1	0	0
0	20	10	spirit	4	1	0	1	19	7	1	0	1	1	0
9	41	0	other	4	1	1	1	22	0	1	0	1	0	0
0	16	7	other	NA	0	0	0	NA	NA	1	0	1	0	0
2	39	5	spirit	6	1	0	1	23	NA	1	0	1	0	1
0	18	5	other	6	1	0	0	NA	NA	1	0	1	0	0
3	32	7	protestant	6	1	1	1	20	11	1	0	1	1	0
0	19	10	protestant	5	1	0	0	NA	NA	1	0	1	1	0
0	22	7	other	3	1	1	1	21	7	1	0	1	0	1
1	28	13	other	3	1	1	0	NA	NA	1	0	1	0	0
7	39	0	spirit	7	1	1	1	35	0	1	0	1	0	0
1	16	5	spirit	4	1	1	0	NA	NA	1	0	1	0	0
1	23	0	spirit	4	1	0	1	22	0	1	0	1	0	0
0	20	7	other	4	1	0	0	NA	NA	1	0	1	0	1
4	26	4	spirit	6	1	1	1	20	0	1	0	1	0	0
1	22	0	other	3	1	1	1	21	7	1	0	1	0	0
4	38	5	protestant	5	1	0	1	33	3	1	0	1	0	0
1	25	10	catholic	4	1	1	0	NA	NA	1	0	1	0	1
3	29	14	spirit	6	1	0	1	20	16	1	0	1	0	0
0	15	8	spirit	5	1	0	0	NA	NA	1	0	1	0	0
4	34	6	other	6	1	0	1	19	7	1	1	1	1	0
0	22	12	other	5	1	1	0	NA	NA	1	1	1	1	1
2	38	10	other	3	1	1	1	24	14	1	0	1	1	0
0	16	8	other	6	1	0	0	NA	NA	1	0	1	1	0
0	22	12	protestant	6	1	1	0	NA	NA	1	0	1	0	0
3	32	7	spirit	4	1	1	0	NA	NA	1	0	1	0	0
2	27	7	spirit	5	1	1	1	21	6	1	0	0	0	0
0	28	6	spirit	NA	1	0	1	23	14	1	0	1	0	0
4	38	2	spirit	NA	0	0	1	17	0	1	0	1	0	0
1	22	10	spirit	4	1	1	1	20	10	1	0	1	0	1
6	32	3	protestant	6	1	1	1	18	6	1	0	1	0	0
3	24	0	other	2	1	1	1	19	7	1	0	0	0	0
1	24	0	other	4	1	0	1	16	7	1	0	0	0	0
0	18	7	other	4	1	0	0	NA	NA	1	0	0	0	0
7	36	6	spirit	7	1	1	0	NA	NA	1	0	0	0	0
1	22	7	spirit	3	1	0	0	NA	NA	1	0	1	0	0
1	29	0	other	NA	1	0	0	NA	NA	1	0	1	0	0
0	30	12	spirit	4	1	0	0	NA	NA	1	0	0	0	0
2	20	7	other	2	1	1	0	NA	NA	1	0	0	0	0
1	26	10	spirit	2	1	1	0	NA	NA	1	0	1	0	0
1	24	7	other	6	1	1	1	21	7	1	0	1	0	0
0	18	7	other	4	1	0	0	NA	NA	1	0	0	0	0
2	26	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
0	19	10	other	4	1	0	0	NA	NA	1	0	1	0	0
5	44	8	other	5	1	1	0	NA	NA	1	1	1	1	0
3	30	13	protestant	3	1	1	1	21	6	1	0	1	0	0
2	28	12	spirit	4	1	1	0	NA	NA	1	0	1	0	0
4	30	9	protestant	10	1	1	1	21	14	1	0	1	0	0
0	19	9	protestant	4	1	0	0	NA	NA	1	0	1	0	0
3	25	0	spirit	NA	1	1	1	21	0	1	0	1	0	0
0	22	0	spirit	10	1	0	0	NA	NA	1	0	1	0	0
6	46	0	protestant	6	1	0	1	24	0	1	0	0	0	0
2	35	0	other	4	1	1	1	26	6	1	0	1	0	1
2	21	7	protestant	6	1	1	0	NA	NA	1	0	1	0	0
0	24	17	protestant	1	1	1	0	NA	NA	1	0	1	0	0
1	18	8	other	2	1	0	0	NA	NA	1	0	1	0	0
4	29	4	protestant	6	1	0	1	19	7	1	0	1	0	1
1	25	12	protestant	6	1	1	0	NA	NA	1	0	1	0	0
3	26	10	other	3	1	1	1	15	10	1	0	1	1	1
2	28	10	protestant	5	1	1	1	19	10	1	0	1	0	0
0	16	7	spirit	6	1	0	0	NA	NA	1	0	1	0	1
8	41	4	other	8	1	1	1	25	0	1	0	1	0	0
1	19	7	spirit	4	1	0	0	NA	NA	1	0	1	0	0
4	29	0	protestant	5	1	0	1	16	0	1	0	0	0	0
5	37	10	spirit	5	1	0	1	19	7	1	0	1	0	0
0	16	10	protestant	4	1	0	0	NA	NA	1	0	1	0	0
0	15	7	protestant	3	1	0	0	NA	NA	1	0	1	0	0
0	30	5	other	2	1	0	1	27	0	1	0	1	1	0
2	31	8	spirit	4	1	1	1	29	7	1	0	1	0	0
0	17	7	spirit	4	1	0	0	NA	NA	1	0	1	0	0
0	20	10	spirit	5	1	0	0	NA	NA	1	0	1	0	1
7	36	0	other	6	1	1	1	18	6	1	0	1	0	1
1	44	0	other	2	1	0	1	17	NA	1	0	1	0	0
6	39	6	spirit	4	1	1	1	21	NA	1	0	1	0	1
0	15	5	spirit	4	1	0	0	NA	NA	1	0	1	0	0
0	15	5	spirit	3	1	0	0	NA	NA	1	0	1	0	0
1	19	7	spirit	5	1	0	1	14	7	1	0	0	0	1
3	34	7	protestant	4	1	1	1	23	4	1	0	1	0	0
1	30	0	other	3	1	0	1	18	7	1	0	1	0	0
0	15	2	other	2	0	0	0	NA	NA	1	0	0	0	0
5	34	7	protestant	6	1	1	1	21	3	1	0	1	0	1
0	19	7	other	4	1	0	0	NA	NA	1	0	1	0	0
1	23	7	protestant	4	1	1	1	21	7	1	0	0	0	0
0	17	9	protestant	4	0	0	0	NA	NA	1	0	1	0	1
1	23	0	protestant	10	1	0	1	22	7	1	0	0	0	0
1	26	8	spirit	6	1	0	1	22	0	1	0	0	0	0
1	19	7	other	5	1	0	1	18	7	1	0	1	0	0
6	36	4	spirit	4	1	1	1	17	0	1	0	1	0	0
0	18	10	catholic	6	1	0	0	NA	NA	1	0	1	0	0
2	22	7	spirit	4	1	1	1	17	9	1	0	0	0	0
1	21	7	catholic	6	1	1	1	20	0	1	0	1	0	1
1	22	12	catholic	2	1	1	0	NA	NA	1	0	1	0	0
3	24	5	spirit	4	1	1	1	20	8	1	0	1	0	0
9	39	6	protestant	10	1	1	1	15	10	1	0	1	0	0
0	16	0	protestant	4	1	0	0	NA	NA	1	0	1	0	0
1	24	10	catholic	4	1	1	1	21	10	1	0	1	0	0
1	23	9	protestant	6	1	1	1	20	10	1	0	1	1	0
1	25	7	other	4	1	1	1	17	9	1	0	1	1	0
0	19	9	protestant	3	1	0	0	NA	NA	1	0	1	0	0
1	21	0	catholic	6	1	0	1	20	0	1	0	0	0	0
0	19	5	spirit	10	1	0	0	NA	NA	1	0	0	0	0
0	16	7	spirit	10	1	0	0	NA	NA	1	0	1	0	1
0	21	7	protestant	1	1	0	1	19	10	1	0	1	0	0
6	37	6	protestant	4	1	0	1	17	7	1	0	1	0	0
4	33	0	spirit	6	1	1	1	26	0	1	0	1	0	0
1	46	0	spirit	10	1	0	1	18	6	1	0	1	0	0
3	32	6	other	4	1	1	1	17	NA	1	0	1	0	0
1	26	0	other	10	1	1	0	NA	NA	1	0	1	0	0
0	19	7	spirit	4	1	1	0	NA	NA	1	0	1	0	0
6	32	7	spirit	6	1	1	1	19	7	1	0	0	0	0
2	29	6	protestant	3	1	1	1	22	6	1	0	1	0	1
3	26	0	spirit	3	1	1	1	18	7	1	0	1	0	1
1	36	2	spirit	6	1	0	1	21	0	1	0	1	0	1
7	36	7	protestant	4	1	1	1	20	7	1	0	1	1	0
1	15	8	catholic	4	1	0	0	NA	NA	1	0	1	1	0
8	40	4	spirit	7	1	1	1	16	7	1	0	1	1	1
2	24	0	spirit	5	1	0	1	18	12	1	0	1	1	1
3	28	0	other	4	1	1	1	24	0	1	0	1	0	0
0	18	7	protestant	3	1	0	0	NA	NA	1	0	1	0	0
2	18	7	other	2	1	0	0	NA	NA	1	0	1	0	0
3	48	4	spirit	3	1	0	1	20	0	1	0	0	0	0
2	28	7	spirit	6	1	1	1	28	0	1	0	1	0	0
4	40	0	spirit	4	1	0	1	15	NA	1	0	0	0	0
5	29	0	other	10	1	1	1	18	7	1	0	0	0	0
0	18	5	other	4	1	1	0	NA	NA	1	0	0	0	0
5	41	0	spirit	5	1	0	1	17	0	1	0	1	0	1
0	19	7	spirit	3	1	1	0	NA	NA	1	0	0	0	0
2	23	7	protestant	5	1	1	0	NA	NA	1	0	1	0	0
2	25	6	catholic	4	1	0	1	16	0	1	0	1	0	1
3	37	3	spirit	6	1	1	0	NA	NA	1	0	0	0	0
2	25	0	protestant	6	1	0	1	16	0	1	0	0	0	0
0	43	1	other	NA	1	0	1	38	0	1	0	0	0	0
2	25	0	spirit	8	1	1	1	25	0	1	0	0	0	0
1	26	14	catholic	3	1	1	1	19	15	1	0	1	0	0
0	16	9	catholic	4	1	0	0	NA	NA	1	0	1	0	0
0	22	10	catholic	2	1	1	0	NA	NA	1	0	1	1	0
8	43	7	spirit	8	1	0	1	15	14	1	0	1	0	0
1	23	11	spirit	3	1	0	0	NA	NA	1	0	1	0	0
0	16	7	protestant	3	1	0	0	NA	NA	1	0	1	0	0
0	23	7	catholic	4	1	1	0	NA	NA	1	0	1	0	0
1	20	7	protestant	6	1	1	0	NA	NA	1	0	0	0	0
1	24	10	catholic	3	1	1	0	NA	NA	1	0	1	0	1
1	22	9	catholic	3	1	1	0	NA	NA	1	0	1	0	1
0	15	7	catholic	2	0	0	0	NA	NA	1	0	1	0	1
3	24	10	protestant	4	1	1	0	NA	NA	1	0	0	0	0
1	27	6	protestant	4	1	0	0	NA	NA	1	0	1	0	0
0	20	10	spirit	1	1	0	0	NA	NA	1	0	1	0	0
0	18	10	spirit	4	1	0	0	NA	NA	1	0	1	0	0
9	38	0	protestant	6	1	1	1	25	3	1	0	1	0	0
0	16	9	protestant	2	1	0	0	NA	NA	1	0	1	0	0
1	18	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
3	28	13	protestant	4	1	1	0	NA	NA	1	0	1	0	0
1	21	7	other	4	1	1	1	19	7	1	0	1	1	0
1	24	7	spirit	4	1	1	1	22	10	1	0	0	0	0
0	16	7	spirit	2	1	1	0	NA	NA	1	0	1	0	0
1	19	7	spirit	4	1	1	1	15	7	1	0	1	0	0
2	29	7	other	2	1	1	1	22	10	1	0	1	0	0
6	33	7	catholic	5	1	1	1	20	6	1	0	1	0	1
0	15	9	catholic	2	1	1	0	NA	NA	1	0	1	0	1
5	31	0	spirit	3	1	1	1	24	2	1	0	1	0	0
1	23	9	catholic	4	1	1	0	NA	NA	1	0	1	0	0
2	34	0	spirit	4	1	0	1	18	0	1	0	1	0	0
1	35	6	catholic	4	1	NA	1	17	10	1	0	1	0	0
1	18	5	catholic	2	1	0	0	NA	NA	1	0	1	0	1
4	48	0	spirit	NA	1	0	1	46	0	1	0	1	0	0
0	19	6	spirit	2	1	0	0	NA	NA	1	0	1	0	1
11	48	0	other	NA	1	0	1	19	0	1	0	0	0	0
0	22	7	other	6	1	1	0	NA	NA	1	0	1	0	0
2	20	6	catholic	4	1	1	1	17	10	1	0	0	0	0
1	24	4	other	NA	1	1	1	20	NA	1	0	1	0	0
0	16	6	spirit	5	1	0	0	NA	NA	1	0	1	0	1
2	23	10	spirit	2	1	1	0	NA	NA	1	0	1	0	0
3	29	7	protestant	6	1	1	1	16	0	1	0	1	1	1
0	18	10	other	3	1	0	0	NA	NA	1	0	1	1	1
0	15	7	protestant	3	0	0	0	NA	NA	1	0	1	0	1
0	16	7	spirit	3	1	0	0	NA	NA	1	0	1	1	1
6	40	5	spirit	6	1	1	1	19	7	1	0	1	0	0
2	25	0	spirit	6	1	1	1	16	3	1	0	1	0	0
9	48	3	spirit	10	1	0	1	22	0	1	0	1	0	1
3	22	0	other	NA	1	0	1	14	0	1	0	1	0	0
4	25	5	spirit	6	1	1	1	19	0	1	0	1	0	1
2	21	5	spirit	4	1	1	0	NA	NA	1	0	1	0	1
2	25	4	other	2	1	1	1	19	12	1	0	0	0	0
3	24	7	spirit	4	1	0	1	24	5	1	0	1	0	1
4	38	6	spirit	4	1	1	1	34	3	1	0	1	0	1
4	30	5	catholic	6	1	0	1	16	0	1	0	0	0	1
2	31	0	spirit	7	1	0	1	25	9	1	0	1	0	1
3	21	5	other	3	1	1	0	NA	NA	1	0	1	0	1
3	33	6	spirit	3	1	1	1	18	0	1	0	1	0	1
3	40	6	spirit	4	1	0	0	NA	NA	1	0	1	0	0
1	19	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
5	31	5	spirit	6	1	1	0	NA	NA	1	0	0	0	0
3	28	7	spirit	3	1	1	1	20	0	1	0	0	0	0
0	19	9	spirit	5	1	1	0	NA	NA	1	0	0	0	0
3	28	10	spirit	4	1	0	1	19	6	1	0	1	0	0
1	19	6	spirit	8	1	0	1	17	0	1	0	0	0	1
5	30	7	other	6	1	1	1	15	NA	1	0	1	1	0
11	47	0	other	NA	1	1	1	39	NA	1	0	1	0	0
2	31	4	spirit	NA	1	1	1	16	NA	1	0	1	0	0
4	28	7	spirit	8	1	1	1	18	0	1	0	0	0	0
0	20	10	other	8	1	0	0	NA	NA	1	0	0	0	0
0	17	5	catholic	5	1	1	0	NA	NA	1	0	0	0	0
1	21	5	other	6	1	1	0	NA	NA	1	0	0	0	0
2	25	5	protestant	4	1	1	1	21	NA	1	0	0	0	0
1	24	7	protestant	4	1	1	1	23	7	1	0	1	0	0
5	32	4	catholic	10	1	1	0	NA	NA	1	0	1	0	0
0	21	10	protestant	5	1	0	0	NA	NA	1	0	1	0	0
0	19	6	spirit	4	1	0	1	18	10	1	0	1	0	0
6	36	2	other	4	1	1	1	33	NA	1	0	1	0	1
0	15	3	other	2	0	0	0	NA	NA	1	0	1	0	0
2	34	7	spirit	5	1	0	1	23	7	1	0	1	0	1
4	40	2	spirit	6	1	0	1	33	0	1	0	1	0	1
2	40	1	other	14	1	0	0	NA	NA	1	0	0	0	0
0	16	5	other	2	1	0	0	NA	NA	1	0	0	0	0
0	17	5	spirit	4	1	0	0	NA	NA	1	0	1	0	0
0	19	8	spirit	2	1	1	0	NA	NA	1	0	1	0	1
0	18	10	other	4	1	0	0	NA	NA	1	0	1	0	1
1	26	7	other	6	1	0	1	22	7	1	0	1	0	1
2	24	8	catholic	4	1	1	0	NA	NA	1	0	0	0	0
4	48	0	protestant	8	1	0	1	13	10	1	0	1	0	0
2	47	3	protestant	4	1	1	0	NA	NA	1	0	1	0	0
3	41	0	catholic	3	1	0	1	29	7	1	0	0	0	0
5	37	7	catholic	6	1	1	1	23	7	1	0	1	0	0
0	15	9	catholic	0	1	0	0	NA	NA	1	0	1	0	0
1	21	6	other	4	1	1	0	NA	NA	1	0	0	0	0
1	21	5	other	6	1	0	0	NA	NA	1	0	1	0	0
4	45	4	other	NA	1	NA	1	26	7	1	0	1	0	0
0	22	13	protestant	2	1	0	0	NA	NA	1	0	1	0	0
1	26	17	other	4	1	1	1	25	2	1	0	1	1	0
0	16	9	protestant	3	1	0	0	NA	NA	1	0	1	0	0
2	26	5	other	6	1	1	1	21	12	1	0	1	1	1
3	40	7	protestant	3	1	1	1	20	6	1	0	1	0	0
0	17	9	protestant	4	1	0	0	NA	NA	1	0	1	0	0
4	36	6	spirit	5	1	1	1	22	12	1	0	1	0	0
3	39	9	other	4	1	0	1	21	6	1	1	1	1	0
2	26	2	protestant	2	1	1	1	26	10	1	1	1	0	0
0	24	9	protestant	3	1	1	0	NA	NA	1	0	1	1	0
0	16	10	protestant	4	1	0	0	NA	NA	1	0	1	1	0
2	23	10	protestant	3	1	1	0	NA	NA	1	0	1	1	0
2	22	7	protestant	6	1	1	1	21	4	1	0	1	0	0
2	27	10	catholic	4	1	1	1	26	7	1	0	1	1	0
2	27	0	spirit	4	1	1	1	20	6	1	0	1	1	0
2	23	7	spirit	2	1	1	1	17	NA	1	0	1	0	0
7	38	7	spirit	9	1	1	1	23	9	1	0	1	0	0
1	17	8	spirit	3	1	0	0	NA	NA	1	0	1	0	0
2	22	7	spirit	4	1	1	1	20	7	1	0	1	0	1
2	36	6	spirit	4	1	0	1	22	3	1	0	1	0	1
6	38	5	spirit	4	1	1	1	22	7	1	0	1	0	0
3	28	7	spirit	4	1	1	1	19	7	1	0	0	0	0
0	18	7	protestant	4	1	1	0	NA	NA	1	0	0	0	0
1	26	9	other	4	1	1	0	NA	NA	1	0	1	0	0
1	19	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
2	31	2	spirit	4	1	1	0	NA	NA	1	0	1	0	0
1	19	10	spirit	4	1	0	0	NA	NA	1	0	1	0	0
0	16	5	other	2	1	1	0	NA	NA	1	0	1	0	1
2	26	7	spirit	6	1	1	1	17	10	1	0	0	0	0
2	31	0	spirit	4	1	1	0	NA	NA	1	0	0	0	0
3	37	0	spirit	6	1	0	1	24	7	1	0	1	0	0
1	23	7	catholic	4	1	1	1	15	6	1	0	1	0	0
1	29	0	spirit	6	1	1	1	23	0	1	0	0	0	0
4	28	6	spirit	6	1	1	0	NA	NA	1	0	0	0	0
0	16	7	other	4	1	0	0	NA	NA	1	0	1	0	1
2	26	0	other	NA	1	1	1	25	0	1	0	0	0	0
1	22	4	other	4	1	0	1	21	1	1	0	1	0	1
3	30	0	spirit	5	1	1	1	16	5	1	0	1	0	0
1	20	4	spirit	2	1	1	1	20	0	1	0	1	0	0
0	21	0	spirit	4	1	0	1	21	6	1	0	0	0	0
2	19	7	spirit	4	1	0	0	NA	NA	1	0	0	0	0
2	22	6	spirit	6	1	1	1	17	0	1	0	0	0	0
3	25	0	spirit	2	1	0	1	20	NA	1	0	0	0	0
5	29	0	spirit	4	1	1	1	20	0	1	0	0	0	0
5	33	2	protestant	4	1	1	1	18	0	1	0	1	0	1
2	25	0	other	4	1	1	1	20	NA	1	0	1	0	1
2	22	10	protestant	3	1	0	0	NA	NA	1	0	1	0	0
0	18	7	spirit	4	1	0	0	NA	NA	1	0	1	0	1
0	16	7	spirit	4	1	0	0	NA	NA	1	0	1	0	0
4	47	2	other	4	1	1	0	NA	NA	1	0	1	0	1
0	19	10	other	2	1	0	0	NA	NA	1	0	1	0	1
1	35	6	spirit	NA	1	0	0	NA	NA	1	0	0	0	0
1	18	7	catholic	2	1	1	0	NA	NA	1	0	1	0	1
1	28	12	spirit	4	1	1	0	NA	NA	1	0	0	0	0
1	19	7	other	4	1	0	0	NA	NA	1	0	0	0	0
1	20	8	protestant	1	1	0	0	NA	NA	1	0	1	0	1
1	18	7	catholic	4	1	0	0	NA	NA	1	0	0	0	0
4	36	1	other	4	1	1	1	30	0	1	0	1	0	0
2	27	7	protestant	2	1	1	0	NA	NA	1	0	1	0	0
4	40	2	spirit	4	1	0	1	21	NA	1	0	0	0	0
1	22	7	catholic	4	1	0	0	NA	NA	1	0	0	0	0
1	21	7	spirit	4	1	1	0	NA	NA	1	0	0	0	0
5	30	5	catholic	4	1	1	0	NA	NA	1	0	1	0	0
3	30	0	catholic	4	1	1	0	NA	NA	1	0	0	0	0
0	17	9	other	6	1	1	0	NA	NA	1	0	0	0	0
3	28	0	other	4	1	1	1	26	NA	1	0	0	0	0
2	19	7	catholic	4	1	0	1	15	7	1	0	0	0	0
3	37	0	catholic	4	1	0	0	NA	NA	1	0	0	0	0
3	35	0	other	8	1	1	1	19	0	1	0	1	0	0
2	21	9	catholic	2	1	1	1	18	12	1	0	1	0	0
5	34	5	other	8	1	1	1	17	0	1	0	1	0	1
3	27	12	protestant	5	1	1	1	20	10	1	0	1	0	0
6	47	4	protestant	6	1	0	0	NA	NA	1	0	0	0	0
4	25	10	other	4	1	1	1	22	5	1	0	1	0	0
0	21	7	protestant	2	1	0	0	NA	NA	1	0	0	0	0
3	31	10	protestant	4	1	1	1	20	13	1	0	1	0	1
0	18	10	spirit	4	1	1	0	NA	NA	1	0	1	1	0
2	26	9	spirit	4	1	1	1	24	10	1	0	0	0	0
0	19	10	protestant	3	1	0	0	NA	NA	1	0	0	0	0
5	39	0	spirit	NA	1	0	1	29	7	1	0	1	0	0
2	25	7	spirit	3	1	1	1	22	7	1	0	1	1	1
0	16	9	protestant	10	1	0	0	NA	NA	1	0	1	1	0
0	30	4	protestant	2	1	1	1	18	3	1	0	1	1	0
2	49	4	spirit	NA	1	0	0	NA	NA	1	0	1	0	0
7	38	7	protestant	NA	1	1	1	19	7	1	0	1	0	1
0	31	12	other	7	1	0	1	21	7	1	0	1	0	1
0	16	6	other	1	1	0	0	NA	NA	1	0	1	0	1
0	16	9	protestant	2	1	0	0	NA	NA	1	0	1	0	0
2	27	13	protestant	4	1	1	0	NA	NA	1	0	1	0	0
1	26	0	protestant	4	1	1	0	NA	NA	1	0	1	0	1
1	24	10	protestant	4	1	1	1	24	10	1	0	1	0	0
1	21	10	protestant	9	1	1	0	NA	NA	1	0	0	0	1
8	41	4	protestant	4	1	1	1	19	NA	1	0	1	0	0
1	19	6	protestant	1	1	0	0	NA	NA	1	0	1	0	0
4	35	10	protestant	6	1	0	1	21	12	1	0	1	1	0
3	31	9	protestant	3	1	1	0	NA	NA	1	0	0	0	0
3	25	7	protestant	4	1	0	1	16	0	1	0	1	0	0
2	22	10	other	17	1	1	1	20	7	1	0	1	0	1
0	22	7	spirit	6	1	0	1	20	9	1	0	1	0	0
2	29	7	protestant	4	1	1	1	28	6	1	0	1	0	0
2	23	5	protestant	2	1	1	0	NA	NA	1	0	1	0	0
2	28	0	spirit	7	1	1	0	NA	NA	1	0	1	0	0
0	28	7	catholic	6	1	0	1	22	7	1	0	1	0	0
0	24	0	other	3	1	0	0	NA	NA	1	0	1	0	0
2	26	7	spirit	3	1	1	1	18	5	1	0	1	0	0
2	24	9	protestant	3	1	1	0	NA	NA	1	0	1	0	0
0	18	10	catholic	4	1	1	0	NA	NA	1	0	1	0	0
2	26	7	spirit	4	1	1	1	19	3	1	0	1	0	0
1	29	9	protestant	9	1	0	0	NA	NA	1	0	1	0	0
1	24	7	other	4	1	1	0	NA	NA	1	0	1	0	0
1	21	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
2	21	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
1	22	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
1	20	9	protestant	4	1	1	0	NA	NA	1	0	1	0	0
0	16	9	protestant	4	1	0	0	NA	NA	1	0	1	0	0
3	22	3	protestant	3	1	1	0	NA	NA	1	0	1	0	0
0	35	0	other	5	1	0	1	33	3	1	0	1	0	0
1	25	9	protestant	6	1	1	1	23	8	1	0	1	0	0
8	44	0	catholic	9	1	0	1	18	7	1	0	1	0	0
1	18	7	catholic	2	1	0	0	NA	NA	1	0	1	0	0
0	17	9	catholic	2	1	0	0	NA	NA	1	0	1	0	0
0	16	8	catholic	3	1	0	0	NA	NA	1	0	1	0	0
0	15	8	catholic	5	1	0	0	NA	NA	1	0	1	0	0
4	26	5	spirit	8	1	1	1	18	10	1	0	1	0	0
0	21	7	catholic	4	1	1	1	19	3	1	0	0	0	0
3	28	7	protestant	4	1	1	0	NA	NA	1	0	1	0	0
0	20	7	other	2	1	0	0	NA	NA	1	0	0	0	0
0	18	7	other	2	1	0	0	NA	NA	1	0	0	0	0
2	33	5	catholic	3	1	1	1	28	5	1	0	1	0	0
3	36	7	spirit	4	1	1	0	NA	NA	1	0	1	0	0
1	26	10	spirit	3	1	1	1	21	10	1	NA	1	0	0
0	22	5	spirit	4	1	1	0	NA	NA	1	0	1	0	0
1	23	0	spirit	2	1	1	1	21	7	1	0	1	0	0
2	23	7	other	4	1	1	1	17	0	1	0	1	0	0
2	30	0	spirit	2	1	0	1	16	0	1	0	1	0	0
5	30	0	other	10	1	1	1	16	6	1	0	1	0	0
0	25	10	spirit	3	1	0	1	23	0	1	0	1	0	0
0	17	7	spirit	1	1	0	0	NA	NA	1	0	1	0	0
2	22	7	other	4	1	1	0	NA	NA	1	0	1	0	0
0	19	10	other	4	1	0	0	NA	NA	1	0	1	0	0
5	34	0	spirit	6	1	1	1	26	0	1	0	0	0	1
6	29	0	other	7	1	0	1	16	0	1	0	0	0	0
1	25	10	protestant	3	1	1	0	NA	NA	1	0	1	1	0
1	18	6	catholic	4	1	0	0	NA	NA	1	0	1	0	0
0	17	0	other	4	0	0	0	NA	NA	1	0	1	0	0
4	29	0	spirit	4	1	1	1	20	0	1	0	1	0	0
1	22	9	other	4	1	0	0	NA	NA	1	0	1	0	0
6	29	7	spirit	6	1	1	1	26	7	1	0	1	1	0
0	19	7	spirit	5	1	1	0	NA	NA	1	0	1	1	0
7	38	5	catholic	7	1	1	1	15	6	1	1	1	0	0
0	21	7	catholic	5	1	1	0	NA	NA	1	1	1	0	0
3	31	8	catholic	4	1	1	1	28	7	1	1	1	1	0
0	15	8	catholic	4	1	0	0	NA	NA	1	1	1	1	0
9	40	7	spirit	9	1	1	1	19	6	1	1	1	0	0
0	18	7	spirit	4	1	0	0	NA	NA	1	1	1	0	0
0	15	7	spirit	4	1	0	0	NA	NA	1	1	1	0	0
6	37	7	protestant	6	1	1	1	34	10	1	1	1	0	0
0	20	10	catholic	5	1	1	1	18	10	1	1	1	0	0
1	20	6	other	4	1	1	0	NA	NA	1	1	1	0	0
2	27	7	spirit	4	1	1	1	19	7	1	1	1	1	0
1	18	9	protestant	6	1	1	0	NA	NA	1	1	1	0	0
1	35	7	protestant	4	1	1	1	32	7	1	1	1	0	0
0	15	6	spirit	2	1	0	0	NA	NA	1	1	1	0	0
